RestaurantID,RestaurantName,City,Cuisines,Rating_text,Votes
18424673,Burger Singh - Big Punjabi Burgers,New Delhi,"Fast Food, Burger, Beverages",Good,485
9523,Food Forest,New Delhi,"North Indian, South Indian, Chinese, Street Food",Average,385
17977779,Lettuce Eat,New Delhi,"North Indian, Asian, Fast Food, Rolls",Very Good,386
18057794,Mystical Bundle,New Delhi,"Bakery, Desserts",Very Good,260
309739,Subway,New Delhi,"Wraps, Healthy Food, Sandwich, Salad",Good,348
18472659,Döner Grill,New Delhi,"Healthy Food, Salad, Continental, Turkish",Very Good,255
8214,Ajit Khalsa Dhaba,New Delhi,North Indian,Good,330
18637929,Gopi Vaishno Dhaba,New Delhi,"North Indian, Mughlai",Average,346
18499480,Domino's Pizza,New Delhi,"Pizza, Fast Food",Good,582
18653967,Anna Ka Dosa,New Delhi,South Indian,Good,247
18222582,Cheer Pizza,New Delhi,"Pizza, Fast Food",Good,125
18634039,Pizza King,New Delhi,"Pizza, Fast Food",Average,180
18428127,Fresh Fast,New Delhi,"Fast Food, Pizza, Burger",Average,139
18203164,The Momo Villa,New Delhi,"Chinese, Fast Food",Good,119
18357928,Juneja's Kitchen,New Delhi,"North Indian, Mughlai, Chinese",Good,146
18431641,OCD - Online Cake Delivery,New Delhi,Bakery,Good,93
18690889,Alfresco,Indore,"North Indian, Chinese, Fast Food",Good,159
1401320,Mama Ji Ka Dhaba,Indore,North Indian,Good,205
90256,MRCB,Hyderabad,"North Indian, Chinese, Biryani",Average,1715
96627,Grill 9,Secunderabad,"Biryani, Chinese, North Indian, Rolls",Very Good,2324
97293,Mujtaba Grills,Secunderabad,"North Indian, Mughlai, BBQ, Seafood, Chinese, Biryani",Very Good,2489
92360,Mayabazar Restaurant,Secunderabad,"North Indian, Chinese",Very Good,1468
96814,Saffron Mantra,Secunderabad,"North Indian, Chinese",Very Good,1255
90199,KFC,Secunderabad,"Burger, Fast Food",Very Good,908
