location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,
Hungary,HKG,03-06-2021,2502615,1442878,1059737,36078,36043,33.38,19.25,14.14,4808,
Iceland,HUN,18-05-2021,7565412,4790996,2774416,101185,89210,78.31,49.59,28.72,9235,
India,ISL,19-04-2021,100168,70482,29686,,1568,29.35,20.65,8.7,4595,
Indonesia,IND,16-01-2021,191181,191181,,191181,191181,0.01,0.01,,139,
Iraq,IDN,02-02-2021,648259,596260,51999,73321,57511,0.24,0.22,0.02,210,
Ireland,IRQ,29-03-2021,26727,26727,,,955,0.07,0.07,,24,
Isle of Man,IRL,23-05-2021,2349207,1734234,,,35524,47.58,35.12,,7194,
Israel,IMN,31-03-2021,50426,35115,15311,639,1112,59.3,41.3,18.01,13077,
Italy,ISR,02-03-2021,8326288,4804152,3522136,105520,92132,96.2,55.5,40.69,10644,
Jamaica,ITA,13-02-2021,3038591,1723710,1314881,52716,64212,5.03,2.85,2.17,1062,
Japan,JAM,28-05-2021,177883,155683,22200,,1883,6.01,5.26,0.75,636,
Jersey,JPN,05-04-2021,1196884,956638,240246,,43746,0.95,0.76,0.19,346,
Jordan,JEY,04-04-2021,67760,44981,22779,,1233,67.04,44.5,22.54,12199,
Kazakhstan,JOR,31-01-2021,40000,40000,,,1250,0.39,0.39,,123,
Kenya,KAZ,15-03-2021,87902,69095,18807,,3453,0.47,0.37,0.1,184,
Kuwait,KEN,31-03-2021,161771,161771,,,13953,0.3,0.3,,259,
Kyrgyzstan,KWT,16-05-2021,1820000,,,,38000,42.62,,,8898,
Laos,KGZ,06-04-2021,644,644,,,72,0.01,0.01,,11,
Latvia,LAO,14-04-2021,135849,105568,30281,,3397,1.87,1.45,0.42,467,
Lebanon,LVA,25-01-2021,19761,16946,2815,668,420,1.05,0.9,0.15,223,
Libya,LBN,12-04-2021,285966,178155,107811,,7238,4.19,2.61,1.58,1060,
Lithuania,LBY,10-05-2021,106559,106559,,,4600,1.55,1.55,,669,
Low income,LTU,10-03-2021,335510,243743,91767,15640,9510,12.32,8.95,3.37,3493,
Lower middle income,OWID_LIC,20-04-2021,2055178,2022135,33043,11921,42533,0.26,0.26,0,55,
Luxembourg,OWID_LMC,26-04-2021,179643035,148503287,31123350,3741044,2836396,5.8,4.79,1,915,
Macao,LUX,22-03-2021,75532,57406,18126,1277,2135,12.07,9.17,2.9,3411,
Malawi,MAC,03-06-2021,187652,120395,68149,4683,4020,28.9,18.54,10.5,6191,
Maldives,MWI,02-06-2021,357015,357015,,881,1340,1.87,1.87,,70,
Mali,MDV,25-03-2021,227423,227423,,2444,1404,42.07,42.07,,2597,
Malta,MLI,25-04-2021,49903,49903,,,1821,0.25,0.25,,90,
Mauritania,MLT,03-06-2021,541178,324295,226341,6539,5154,122.57,73.45,51.26,11673,
Mexico,MRT,01-04-2021,1366,1366,,,228,0.03,0.03,,49,
Monaco,MEX,02-04-2021,8644446,7586131,1058315,,308182,6.7,5.88,0.82,2390,
Mongolia,MCO,04-03-2021,15612,8449,7163,,294,39.78,21.53,18.25,7492,
Montenegro,MNG,27-04-2021,1007030,744564,262466,,49603,30.72,22.71,8.01,15131,
Montserrat,MNE,25-03-2021,12929,11857,1072,2120,978,2.06,1.89,0.17,1557,
Morocco,MSR,17-03-2021,1306,1112,194,,53,26.13,22.24,3.88,10602,
Mozambique,MAR,02-03-2021,3951325,3657468,293857,149675,183462,10.71,9.91,0.8,4970,
Myanmar,MOZ,31-05-2021,394312,319511,74801,,93,1.26,1.02,0.24,3,
Namibia,MMR,05-02-2021,380000,380000,,,41800,0.7,0.7,,768,
Nauru,NAM,11-04-2021,2598,2598,,,60,0.1,0.1,,24,
Nepal,NRU,18-05-2021,7392,7392,,,239,68.23,68.23,,22060,
Netherlands,NPL,31-05-2021,2827243,2113080,714163,24647,17201,9.7,7.25,2.45,590,
New Caledonia,NLD,03-06-2021,9934313,6900408,3357502,,128113,57.98,40.27,19.59,7477,
New Zealand,NCL,02-02-2021,1118,1118,,,,0.39,0.39,,,
Nigeria,NZL,01-06-2021,668115,432509,235606,19181,14861,13.85,8.97,4.89,3082,
North America,NGA,06-04-2021,964387,964387,,,44891,0.47,0.47,,218,
Northern Ireland,OWID_NAM,22-01-2021,20535508,17600936,2826659,1664153,1043772,3.47,2.97,0.48,1763,
Oceania,OWID_NIR,02-06-2021,1758173,1073775,684398,21048,12021,92.84,56.7,36.14,63482,1711
Oman,OWID_OCE,03-06-2021,5760084,4878545,884452,141259,122403,13.5,11.43,2.07,2868,
Pakistan,OMN,31-03-2021,151512,132493,19019,,3188,2.97,2.59,0.37,624,
Palestine,PAK,03-06-2021,7953574,5920955,2174169,305093,260438,3.6,2.68,0.98,1179,
Panama,PSE,14-05-2021,466814,271607,195207,,1360,9.15,5.32,3.83,267,
Samoa,PAN,18-03-2021,287086,235570,51516,,7674,6.65,5.46,1.19,1779,
San Marino,WSM,01-06-2021,32627,32627,,,598,16.44,16.44,,3014,
Sao Tome and Principe,SMR,23-05-2021,42067,21390,20677,,504,123.95,63.03,60.93,14851,
Saudi Arabia,STP,22-03-2021,3965,3965,,,566,1.81,1.81,,2583,
Scotland,SAU,31-03-2021,4432572,,,105996,111004,12.73,,,3188,
Senegal,OWID_SCT,29-03-2021,2786178,2437543,348635,43928,47976,51,44.62,6.38,8782,
Singapore,SEN,03-05-2021,414229,414229,,,2045,2.47,2.47,,122,
Slovakia,SGP,27-01-2021,113050,113000,50,,9116,1.93,1.93,0,1558,
South America,SVK,28-05-2021,2498272,1689144,809128,34104,34981,45.76,30.94,14.82,6407,
Spain,OWID_SAM,27-04-2021,72038260,49328728,22709532,1862564,1391858,16.72,11.45,5.27,3231,
Sweden,ESP,17-02-2021,2782751,1638195,1144556,92294,66035,5.95,3.5,2.45,1412,
Taiwan,SWE,02-06-2021,5297353,3765891,1531462,73380,61929,52.45,37.29,15.16,6132,
Tonga,TWN,08-04-2021,21873,21873,,1798,775,0.09,0.09,,33,
Tunisia,TON,04-05-2021,12252,10903,1349,,791,11.59,10.32,1.28,7484,
Turkey,TUN,03-04-2021,80140,80140,,9371,5118,0.68,0.68,,433,
Turks and Caicos Islands,TUR,16-05-2021,25772743,14947740,10825003,85316,121996,30.56,17.72,12.84,1446,
Uganda,TCA,28-05-2021,36170,20760,15410,,451,93.42,53.62,39.8,11648,
Tuvalu,UGA,10-04-2021,180969,180969,,,8460,0.4,0.4,,185,
United States,TUV,01-06-2021,2400,2400,,,0,20.35,20.35,,0,
Uzbekistan,USA,30-03-2021,147602345,96044046,53423486,1789510,2769331,44.13,28.72,15.97,8280,
Ukraine,UZB,23-05-2021,1600504,1183943,416561,,32937,4.78,3.54,1.24,984,
Uruguay,UKR,25-04-2021,528033,528028,5,,11055,1.21,1.21,0,253,
Vietnam,URY,03-06-2021,2953852,1898704,1055148,39658,34000,85.03,54.66,30.38,9788,
Venezuela,VNM,30-04-2021,519262,509855,9407,12827,49032,0.53,0.52,0.01,504,
Wales,VEN,19-05-2021,316000,316000,,,1784,1.11,1.11,,63,
Wallis and Futuna,OWID_WLS,01-02-2021,440706,439640,1066,23559,21508,13.98,13.94,0.03,6822,
World,WLF,18-05-2021,8175,4321,3854,,343,72.69,38.42,34.27,30500,
Yemen,OWID_WRL,15-12-2020,1529223,28500,,1529218,218460,0.02,0,,28,
Zambia,YEM,29-05-2021,104070,104070,,,4276,0.35,0.35,,143,
Zimbabwe,ZMB,19-05-2021,120209,120209,,,4185,0.65,0.65,,228,
